#iteration aggregated_observation
-1 4.61064
-1 4.22811
-1 4.99859
-1 4.02173
-1 3.41198
-1 4.51015
-1 3.20218
-1 4.55808
-1 0.000611725
-1 4.97399
0 5
1 5
2 5
3 5
4 5
5 5
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 5
16 5
17 5
18 5
19 5
20 5
21 5
22 5
23 5
24 5
25 5
26 5
27 5
28 5
29 5
30 5
31 5
32 5
33 5
34 5
35 5
36 5
37 5
38 5
39 5
